"name","pop","location"
"Mumbai","12691836","https://www.google.com/maps/?q=19.0728,72.8826"
"Delhi","10927986","https://www.google.com/maps/?q=28.652,77.2315"
"Bengaluru","5104047","https://www.google.com/maps/?q=12.9719,77.5937"
"Kolkata","4631392","https://www.google.com/maps/?q=22.5626,88.363"
"Chennai","4328063","https://www.google.com/maps/?q=13.0878,80.2785"
"Ahmedabad","3719710","https://www.google.com/maps/?q=23.0258,72.5873"
"Hyderabad","3597816","https://www.google.com/maps/?q=17.3841,78.4564"
"Pune","2935744","https://www.google.com/maps/?q=18.5196,73.8553"
"Surat","2894504","https://www.google.com/maps/?q=21.1959,72.8302"
"Kanpur","2823249","https://www.google.com/maps/?q=26.4652,80.3497"
"Jaipur","2711758","https://www.google.com/maps/?q=26.9196,75.7878"
"Navi Mumbai","2600000","https://www.google.com/maps/?q=19.0368,73.0158"
"Lucknow","2472011","https://www.google.com/maps/?q=26.8393,80.9231"
"Nagpur","2228018","https://www.google.com/maps/?q=21.1463,79.0849"
"Indore","1837041","https://www.google.com/maps/?q=22.7179,75.8333"
"Patna","1599920","https://www.google.com/maps/?q=25.5941,85.1356"
"Bhopal","1599914","https://www.google.com/maps/?q=23.2547,77.4029"
"Ludhiana","1545368","https://www.google.com/maps/?q=30.912,75.8538"
"Tirunelveli","1435844","https://www.google.com/maps/?q=8.72742,77.6838"
"Agra","1430055","https://www.google.com/maps/?q=27.1833,78.0167"
"Vadodara","1409476","https://www.google.com/maps/?q=22.2994,73.2081"
"Gorakhpur","1324570","https://www.google.com/maps/?q=29.4477,75.6721"
"Nashik","1289497","https://www.google.com/maps/?q=19.9973,73.791"
"Pimpri","1284606","https://www.google.com/maps/?q=18.6229,73.807"
"Kalyan","1262255","https://www.google.com/maps/?q=19.2437,73.1355"
"Thane","1261517","https://www.google.com/maps/?q=19.197,72.9635"
"Meerut","1223184","https://www.google.com/maps/?q=28.98,77.7064"
"Nowrangapur","1220946","https://www.google.com/maps/?q=19.2311,82.5483"
"Faridabad","1220229","https://www.google.com/maps/?q=28.4112,77.3132"
"Ghaziabad","1199191","https://www.google.com/maps/?q=28.6653,77.4391"
"Dombivli","1193000","https://www.google.com/maps/?q=19.2167,73.0833"
"Rajkot","1177362","https://www.google.com/maps/?q=22.2916,70.7932"
"Varanasi","1164404","https://www.google.com/maps/?q=25.3167,83.0104"
"Amritsar","1092450","https://www.google.com/maps/?q=31.6223,74.8753"
"Allahabad","1073438","https://www.google.com/maps/?q=25.4448,81.8432"
"Visakhapatnam","1063178","https://www.google.com/maps/?q=17.6801,83.2016"
"Teni","1034724","https://www.google.com/maps/?q=10.0112,77.4777"
"Jabalpur","1030168","https://www.google.com/maps/?q=23.167,79.9501"
"Haora","1027672","https://www.google.com/maps/?q=22.5769,88.3186"
"Aurangabad","1016441","https://www.google.com/maps/?q=19.8776,75.3423"
"Shivaji Nagar","1000000","https://www.google.com/maps/?q=18.5302,73.8526"
"Solapur","997281","https://www.google.com/maps/?q=17.6715,75.9104"
"Srinagar","975857","https://www.google.com/maps/?q=34.0857,74.8055"
"Chandigarh","960787","https://www.google.com/maps/?q=30.7363,76.7884"
"Coimbatore","959823","https://www.google.com/maps/?q=11.0056,76.9661"
"Jodhpur","921476","https://www.google.com/maps/?q=26.2684,73.0059"
"Madurai","909908","https://www.google.com/maps/?q=9.91769,78.119"
"Guwahati","899094","https://www.google.com/maps/?q=26.1844,91.7458"
"Gwalior","882458","https://www.google.com/maps/?q=26.2298,78.1734"
"Vijayawada","874587","https://www.google.com/maps/?q=16.5075,80.6466"
"Mysore","868313","https://www.google.com/maps/?q=12.2979,76.6393"
"Ranchi","846454","https://www.google.com/maps/?q=23.3432,85.3094"
"Hubli","840214","https://www.google.com/maps/?q=15.3478,75.1338"
"Jalandhar","785178","https://www.google.com/maps/?q=31.3256,75.5792"
"Thiruvananthapuram","784153","https://www.google.com/maps/?q=8.4855,76.9492"
"Salem","778396","https://www.google.com/maps/?q=11.6538,78.1554"
"Tiruchirappalli","775484","https://www.google.com/maps/?q=10.8155,78.6965"
"Kota","763088","https://www.google.com/maps/?q=25.1825,75.8391"
"Bhubaneshwar","762243","https://www.google.com/maps/?q=20.2724,85.8338"
"Aligarh","753207","https://www.google.com/maps/?q=27.8815,78.0746"
"Bareilly","745435","https://www.google.com/maps/?q=28.3668,79.4317"
"Moradabad","721139","https://www.google.com/maps/?q=28.8389,78.7768"
"Bhiwandi","707035","https://www.google.com/maps/?q=19.3002,73.0588"
"Raipur","679995","https://www.google.com/maps/?q=21.2333,81.6333"
"Gorakhpur","674246","https://www.google.com/maps/?q=26.7663,83.3689"
"Bhilai","625138","https://www.google.com/maps/?q=21.2092,81.4285"
"Jamshedpur","616338","https://www.google.com/maps/?q=22.8028,86.1854"
"Borivli","609617","https://www.google.com/maps/?q=19.235,72.8598"
"Cochin","604696","https://www.google.com/maps/?q=9.93988,76.2602"
"Amravati","603837","https://www.google.com/maps/?q=20.9333,77.75"
"Sangli","601214","https://www.google.com/maps/?q=16.8544,74.5642"
"Cuttack","580000","https://www.google.com/maps/?q=20.465,85.8793"
"Bikaner","576015","https://www.google.com/maps/?q=28.0176,73.3149"
"Warangal","557802","https://www.google.com/maps/?q=18,79.5833"
"Bhavnagar","554978","https://www.google.com/maps/?q=21.7629,72.1533"
"Nanded","550564","https://www.google.com/maps/?q=19.1602,77.315"
"Raurkela","536450","https://www.google.com/maps/?q=22.225,84.8641"
"Guntur","530577","https://www.google.com/maps/?q=16.2997,80.4573"
"Dehra Dun","522081","https://www.google.com/maps/?q=30.3244,78.0339"
"Bhayandar","520301","https://www.google.com/maps/?q=19.3016,72.8511"
"Durgapur","518872","https://www.google.com/maps/?q=23.5158,87.308"
"Ajmer","517911","https://www.google.com/maps/?q=26.4521,74.6387"
"Ulhasnagar","516584","https://www.google.com/maps/?q=19.2167,73.15"
"Kolhapur","516142","https://www.google.com/maps/?q=16.6956,74.2317"
"Shiliguri","515574","https://www.google.com/maps/?q=26.71,88.4285"
"Bilimora","510879","https://www.google.com/maps/?q=20.7696,72.9613"
"Karol Bagh","505241","https://www.google.com/maps/?q=28.6514,77.1907"
"Asansol","504271","https://www.google.com/maps/?q=23.6833,86.9833"
"Jamnagar","492056","https://www.google.com/maps/?q=22.4729,70.0667"
"Saharanpur","484873","https://www.google.com/maps/?q=29.9679,77.5452"
"Gulbarga","483615","https://www.google.com/maps/?q=17.3358,76.8376"
"Bhatpara","483129","https://www.google.com/maps/?q=22.8664,88.4011"
"Jammu","465567","https://www.google.com/maps/?q=32.7357,74.8691"
"Kurnool","460184","https://www.google.com/maps/?q=15.8289,78.036"
"Ujjain","457346","https://www.google.com/maps/?q=23.1824,75.7764"
"Ramgundam","452261","https://www.google.com/maps/?q=18.8008,79.4521"
"Shyamnagar","441956","https://www.google.com/maps/?q=22.8333,88.3667"
"Nangi","440894","https://www.google.com/maps/?q=22.5083,88.2153"
"Kozhikode","439922","https://www.google.com/maps/?q=11.248,75.7804"
"Malegaon","435362","https://www.google.com/maps/?q=20.5497,74.5346"
"Davangere","435128","https://www.google.com/maps/?q=14.4669,75.9269"
"Jalgaon","429298","https://www.google.com/maps/?q=21.0029,75.566"
"Akola","428857","https://www.google.com/maps/?q=20.7096,76.9981"
"Belgaum","428720","https://www.google.com/maps/?q=15.8521,74.5045"
"Gaya","423692","https://www.google.com/maps/?q=24.7969,85.0039"
"Udaipur","422784","https://www.google.com/maps/?q=24.5858,73.7135"
"Korba","419146","https://www.google.com/maps/?q=22.3458,82.6963"
"Bokaro","418533","https://www.google.com/maps/?q=23.7871,85.9564"
"Mangalore","417387","https://www.google.com/maps/?q=12.9172,74.856"
"Jhansi","412927","https://www.google.com/maps/?q=25.4589,78.5799"
"Thoothukudi","410760","https://www.google.com/maps/?q=8.76735,78.1342"
"Nellore","404158","https://www.google.com/maps/?q=14.4499,79.987"
"Tiruppur","397521","https://www.google.com/maps/?q=11.1154,77.3546"
"Kollam","394163","https://www.google.com/maps/?q=8.88113,76.5847"
"Panihati","378705","https://www.google.com/maps/?q=22.6909,88.374"
"Ahmadnagar","367140","https://www.google.com/maps/?q=19.0946,74.7384"
"Dhulia","366980","https://www.google.com/maps/?q=20.9013,74.7774"
"Bhagalpur","361548","https://www.google.com/maps/?q=25.2445,86.9718"
"Punasa","350000","https://www.google.com/maps/?q=22.2351,76.3933"
"Muzaffarnagar","349706","https://www.google.com/maps/?q=29.4709,77.7033"
"Latur","348967","https://www.google.com/maps/?q=18.3972,76.5678"
"Kukatpalli","341709","https://www.google.com/maps/?q=17.4849,78.4138"
"Ambattur","341049","https://www.google.com/maps/?q=13.0982,80.1615"
"Bellary","336681","https://www.google.com/maps/?q=15.142,76.924"
"Muzaffarpur","333200","https://www.google.com/maps/?q=26.1226,85.3905"
"Kamarhati","332965","https://www.google.com/maps/?q=22.6711,88.3747"
"Mathura","330511","https://www.google.com/maps/?q=27.5035,77.6721"
"Patiala","329224","https://www.google.com/maps/?q=30.3363,76.3922"
"Chanda","328351","https://www.google.com/maps/?q=19.9508,79.2952"
"Bhilwara","326431","https://www.google.com/maps/?q=25.3471,74.6408"
"Trichur","325110","https://www.google.com/maps/?q=10.5167,76.2167"
"Brahmapur","324726","https://www.google.com/maps/?q=19.3115,84.7929"
"Shahjanpur","320434","https://www.google.com/maps/?q=27.8817,79.9092"
"Shimoga","319550","https://www.google.com/maps/?q=13.9316,75.5679"
"New Delhi","317797","https://www.google.com/maps/?q=28.6358,77.2244"
"Rohtak","317245","https://www.google.com/maps/?q=28.8945,76.5892"
"Tumkur","307359","https://www.google.com/maps/?q=13.3414,77.1022"
"Firozabad","306409","https://www.google.com/maps/?q=27.1509,78.3978"
"Nizamabad","305438","https://www.google.com/maps/?q=18.6715,78.0988"
"Kulti","305405","https://www.google.com/maps/?q=23.7317,86.8437"
"Rajahmundry","304804","https://www.google.com/maps/?q=17.0052,81.7778"
"Barddhaman","301725","https://www.google.com/maps/?q=23.2557,87.8569"
"Barasat","298127","https://www.google.com/maps/?q=22.7215,88.482"
"Bali","296973","https://www.google.com/maps/?q=22.6486,88.3411"
"Hisar","296436","https://www.google.com/maps/?q=29.1539,75.7229"
"Rampur","296418","https://www.google.com/maps/?q=28.8101,79.027"
"Noida","293908","https://www.google.com/maps/?q=28.58,77.33"
"Greater Noida","293908","https://www.google.com/maps/?q=28.4961,77.536"
"Kakinada","292923","https://www.google.com/maps/?q=16.9604,82.2381"
"Panipat","292808","https://www.google.com/maps/?q=29.3875,76.9682"
"Parbhani","289629","https://www.google.com/maps/?q=19.2686,76.7708"
"Darbhanga","287150","https://www.google.com/maps/?q=26.1522,85.8971"
"Alwar","283228","https://www.google.com/maps/?q=27.5625,76.625"
"Bilaspur","282705","https://www.google.com/maps/?q=22.08,82.1554"
"Ichalkaranji","274383","https://www.google.com/maps/?q=16.6912,74.4605"
"Bijapur","271064","https://www.google.com/maps/?q=16.8244,75.7154"
"Aizawl","265331","https://www.google.com/maps/?q=23.7289,92.7179"
"Jalna","262034","https://www.google.com/maps/?q=19.841,75.8864"
"Lal Bahadur Nagar","261987","https://www.google.com/maps/?q=17.3477,78.5576"
"Dewas","261218","https://www.google.com/maps/?q=22.9659,76.0553"
"Baranagar","260072","https://www.google.com/maps/?q=22.6413,88.3773"
"Gajuwaka","258944","https://www.google.com/maps/?q=17.7,83.2167"
"Satna","257778","https://www.google.com/maps/?q=24.5773,80.8272"
"Etawah","257448","https://www.google.com/maps/?q=26.7761,79.0213"
"Durg","255283","https://www.google.com/maps/?q=21.1915,81.2762"
"Naihati","253221","https://www.google.com/maps/?q=22.894,88.4152"
"Tirupati","250821","https://www.google.com/maps/?q=13.6355,79.4199"
"Sonipat","250521","https://www.google.com/maps/?q=28.9948,77.0194"
"Avadi","250044","https://www.google.com/maps/?q=13.1147,80.1098"
"Tiruvottiyur","248059","https://www.google.com/maps/?q=13.1582,80.3018"
"Saugor","247333","https://www.google.com/maps/?q=23.8388,78.7387"
"Mau","246050","https://www.google.com/maps/?q=25.9417,83.5611"
"Bihar Sharif","244230","https://www.google.com/maps/?q=25.2008,85.5239"
"Hapur","242920","https://www.google.com/maps/?q=28.7299,77.7807"
"Bathinda","242800","https://www.google.com/maps/?q=30.2075,74.9389"
"Farrukhabad","241152","https://www.google.com/maps/?q=27.3913,79.5793"
"Anantapur","240442","https://www.google.com/maps/?q=14.6778,77.6081"
"Barasat","237783","https://www.google.com/maps/?q=22.2252,88.4509"
"Ratlam","236843","https://www.google.com/maps/?q=23.3303,75.0403"
"Ramagundam","235000","https://www.google.com/maps/?q=18.755,79.474"
"Ganganagar","231838","https://www.google.com/maps/?q=29.9201,73.875"
"Bharatpur","229384","https://www.google.com/maps/?q=27.2173,77.4901"
"Karimnagar","228745","https://www.google.com/maps/?q=18.4391,79.1286"
"Puducherry","227411","https://www.google.com/maps/?q=11.9338,79.8298"
"Shrirampur","226317","https://www.google.com/maps/?q=22.7528,88.3422"
"Raichur","225962","https://www.google.com/maps/?q=16.2055,77.3557"
"Quthbullapur","225816","https://www.google.com/maps/?q=17.5011,78.4582"
"Karnal","225049","https://www.google.com/maps/?q=29.692,76.9845"
"Arrah","223676","https://www.google.com/maps/?q=25.5563,84.6634"
"Imphal","223523","https://www.google.com/maps/?q=24.8081,93.9442"
"Gosaba","222764","https://www.google.com/maps/?q=22.1655,88.8007"
"Mirzapur","220029","https://www.google.com/maps/?q=25.1449,82.5653"
"Kharagpur","219665","https://www.google.com/maps/?q=22.3397,87.325"
"Dhanbad","219636","https://www.google.com/maps/?q=23.802,86.4432"
"Tanjore","219571","https://www.google.com/maps/?q=10.7852,79.1391"
"Amarnath","217780","https://www.google.com/maps/?q=19.2,73.1667"
"Nagercoil","213858","https://www.google.com/maps/?q=8.17899,77.4323"
"Pali","210103","https://www.google.com/maps/?q=25.7728,73.3233"
"Yamunanagar","208931","https://www.google.com/maps/?q=30.128,77.2837"
